"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2022,"Jonathan India","CIN",103,386,96,68,16,2,10,48,41,31,1,94,14,0,0,5,3,4,431,0.072,0.218,0.33,0.249,0.327,0.378,0.705,0.13,3.5,0.305,0.2,0.3,-0.9,-1.5,51,1.4,0.314,95,0.244
2023,"Jonathan India","CIN",119,454,111,71,23,0,17,78,61,52,0,109,16,7,0,13,14,2,529,0.098,0.206,0.48,0.244,0.338,0.407,0.746,0.163,5,0.281,0.7,-2,1.8,0.9,68,3.9,0.327,100,0.248
2020,"Jonathan Schoop","DET",44,162,45,31,4,2,8,26,23,8,0,39,4,2,0,8,0,0,177,0.045,0.22,0.21,0.278,0.324,0.475,0.799,0.198,4,0.316,1.8,-1.5,0.4,-0.1,25,3,0.34,117,0.278
2021,"Jonathan Schoop","DET",156,623,173,120,30,1,22,85,84,37,0,133,6,8,0,15,2,0,674,0.055,0.197,0.28,0.278,0.32,0.435,0.755,0.157,2.8,0.317,-0.3,-1.6,-0.3,-0.2,87,5.3,0.324,105,0.202
2022,"Jonathan Schoop","DET",131,481,97,62,23,1,11,48,38,19,1,107,6,4,0,15,5,0,510,0.037,0.21,0.18,0.202,0.239,0.322,0.561,0.121,4.4,0.234,0.2,-1,-1.4,0.6,32,-26.1,0.245,57,0.213
2020,"Jonathan Villar","MIA",30,116,30,24,4,0,2,10,9,10,1,32,0,1,1,2,9,5,128,0.078,0.25,0.31,0.259,0.315,0.345,0.66,0.086,4.1,0.337,0,0,0,-0.5,13,-3.4,0.289,81,0.249
2021,"Jonathan Villar","NYM",142,454,113,75,18,2,18,63,42,46,2,132,3,0,2,6,14,7,505,0.091,0.261,0.35,0.249,0.322,0.416,0.738,0.167,4.9,0.313,3.1,1.1,0.4,-0.6,63,2.2,0.32,103,0.222
2021,"Jordan Luplow","CLE",36,98,17,5,5,0,7,12,20,21,0,31,2,0,0,1,0,2,121,0.174,0.256,0.68,0.173,0.331,0.439,0.769,0.265,1.4,0.167,-0.8,0.2,0.2,-0.9,17,2.1,0.336,115,0.176
2023,"Jordan Walker","STL",117,420,116,79,19,2,16,51,51,37,0,104,6,2,0,9,7,4,465,0.08,0.224,0.36,0.276,0.342,0.445,0.787,0.169,3.9,0.331,0.1,-0.1,1.1,-1.2,65,8.8,0.341,116,0.201
2023,"Jordan Westburg","BAL",68,208,54,32,17,2,3,26,23,16,0,56,1,3,0,3,4,1,228,0.07,0.246,0.29,0.26,0.311,0.404,0.715,0.144,5.8,0.336,0.7,0.1,0.9,0,26,-1.8,0.309,96,0.264
2020,"Jorge Alfaro","MIA",31,93,21,16,2,0,3,12,16,4,1,36,3,0,0,2,2,0,100,0.04,0.36,0.11,0.226,0.28,0.344,0.624,0.118,5,0.333,-0.3,0.1,-0.4,0.3,8,-4.1,0.271,69,0.244
2021,"Jorge Alfaro","MIA",92,295,72,52,15,1,4,22,30,11,0,99,5,0,0,8,8,1,311,0.035,0.318,0.11,0.244,0.283,0.342,0.625,0.098,4.7,0.354,0,-0.9,-0.7,0.9,27,-10.5,0.274,68,0.246
