"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2022,"Keibert Ruiz","WSN",112,394,99,70,22,0,7,33,36,30,0,50,6,2,1,9,6,1,433,0.069,0.115,0.6,0.251,0.313,0.36,0.673,0.109,3,0.271,-0.7,0.1,-0.4,0.4,46,-3.7,0.299,92,0.26
2023,"Keibert Ruiz","WSN",136,523,136,94,24,0,18,55,67,31,1,58,6,2,0,13,1,1,562,0.055,0.103,0.53,0.26,0.308,0.409,0.717,0.149,1.6,0.263,-5.7,-0.5,-4.3,-1.2,65,-3.7,0.31,93,0.229
2021,"Kelvin Gutiérrez","BAL",47,137,34,27,4,1,2,14,12,13,0,45,3,0,0,1,0,0,153,0.085,0.294,0.29,0.248,0.327,0.336,0.663,0.088,2.7,0.356,-0.8,0.2,0,-0.1,16,-2.2,0.297,85,0.215
2022,"Kerry Carpenter","DET",31,103,26,15,4,1,6,16,10,6,0,32,3,1,0,0,0,0,113,0.053,0.283,0.19,0.252,0.31,0.485,0.795,0.233,3.7,0.303,-0.5,0.5,0,-0.1,16,2.9,0.342,125,0.278
2023,"Kerry Carpenter","DET",118,418,116,77,17,2,20,57,64,32,3,115,8,1,0,5,6,0,459,0.07,0.251,0.28,0.278,0.34,0.471,0.811,0.194,4.7,0.338,-0.6,0.2,-0.2,0.3,67,11,0.347,121,0.284
2020,"Keston Hiura","MIL",59,217,46,29,4,0,13,30,32,16,2,85,11,2,0,7,3,2,246,0.065,0.346,0.19,0.212,0.297,0.41,0.707,0.198,3.4,0.273,0.7,-0.8,0.1,-0.4,28,-3.4,0.304,88,0.168
2021,"Keston Hiura","MIL",61,173,29,15,9,1,4,16,19,14,0,77,7,1,2,6,3,0,197,0.071,0.391,0.18,0.168,0.256,0.301,0.557,0.133,5.7,0.269,1.3,-0.5,0.2,0.5,13,-10.5,0.25,53,0.226
2020,"Kevin Kiermaier","TBR",49,138,30,19,5,3,3,16,22,20,1,42,1,0,0,2,8,1,159,0.126,0.264,0.48,0.217,0.321,0.362,0.683,0.145,7.4,0.29,1.1,0.1,1.3,1,17,-2.5,0.301,94,0.259
2021,"Kevin Kiermaier","TBR",122,348,90,60,19,7,4,54,37,33,2,99,5,4,0,4,9,5,390,0.085,0.254,0.33,0.259,0.328,0.388,0.716,0.129,6.8,0.345,1.8,1,4.9,-0.6,46,-1.3,0.31,101,0.228
2022,"Kevin Kiermaier","TBR",63,206,47,32,8,0,7,28,22,14,0,61,1,0,0,2,6,1,221,0.063,0.276,0.23,0.228,0.281,0.369,0.649,0.141,4.9,0.29,1.9,0.7,2.3,0.6,21,-4.1,0.286,89,0.265
2023,"Kevin Kiermaier","TOR",129,370,98,63,21,6,8,58,36,29,0,86,4,4,1,9,14,1,408,0.071,0.211,0.34,0.265,0.322,0.419,0.741,0.154,7.8,0.321,-3.3,-1,1.5,1.6,50,0.6,0.32,103,0.195
2020,"Kevin Newman","PIT",44,156,35,29,5,0,1,12,10,12,0,21,1,2,1,1,0,1,172,0.07,0.122,0.57,0.224,0.281,0.276,0.556,0.051,1.4,0.25,0.3,0.6,0.1,-0.6,12,-10,0.251,53,0.226
2021,"Kevin Newman","PIT",148,517,117,87,22,3,5,50,39,27,3,41,1,3,6,7,6,1,554,0.049,0.074,0.66,0.226,0.265,0.309,0.574,0.083,4.5,0.236,2.6,2.1,2.9,0.4,37,-29.9,0.249,52,0.274
2022,"Kevin Newman","PIT",78,288,79,57,18,2,2,31,24,16,0,48,2,1,2,6,8,2,309,0.052,0.155,0.33,0.274,0.316,0.372,0.687,0.097,5.4,0.322,2.5,0,2.5,0.5,34,-1.8,0.303,92,0.253
2023,"Kevin Newman","CIN",74,225,57,38,16,0,3,28,28,17,0,34,4,5,2,7,8,1,253,0.067,0.134,0.5,0.253,0.311,0.364,0.675,0.111,4.9,0.28,-0.2,-0.5,0.3,0.7,26,-4.8,0.296,79,0.278
2020,"Kevin Pillar","BOS",30,117,32,19,7,2,4,20,13,8,0,23,1,0,0,4,1,1,126,0.063,0.183,0.35,0.274,0.325,0.47,0.795,0.197,5.7,0.311,1,-0.2,-0.2,-0.3,18,2.1,0.34,110,0.231
2021,"Kevin Pillar","NYM",124,325,75,47,11,2,15,40,47,11,0,81,10,1,0,5,4,3,347,0.032,0.233,0.14,0.231,0.277,0.415,0.692,0.185,4.7,0.261,0.4,1,0.2,-0.7,37,-5,0.297,88,0.228
2023,"Kevin Pillar","ATL",81,197,45,26,10,0,9,29,32,6,0,50,0,3,0,2,4,1,206,0.029,0.243,0.12,0.228,0.248,0.416,0.664,0.188,5.2,0.255,0.3,0.7,0.6,0.1,18,-6.6,0.28,72,0.236
2022,"Kevin Smith","OAK",47,139,25,13,9,1,2,9,13,7,0,42,0,2,3,5,4,0,151,0.046,0.278,0.17,0.18,0.216,0.302,0.518,0.122,6.1,0.237,-0.5,-0.8,0.3,0.7,7,-10.1,0.226,46,0.185
2022,"Kody Clemens","DET",57,117,17,8,4,0,5,13,17,8,0,33,0,2,0,1,1,0,127,0.063,0.26,0.24,0.145,0.197,0.308,0.505,0.162,4.1,0.148,0.6,0.4,0.4,0.1,6,-9,0.22,39,0.23
2023,"Kody Clemens","PHI",49,139,32,21,7,0,4,15,13,8,0,40,1,0,0,1,0,0,148,0.054,0.27,0.2,0.23,0.277,0.367,0.644,0.137,1.4,0.295,0.5,0.3,0.4,-0.2,13,-4.6,0.281,72,0.219
2020,"Kolten Wong","STL",53,181,48,41,4,2,1,26,16,20,1,30,4,1,2,1,5,2,208,0.096,0.144,0.67,0.265,0.35,0.326,0.675,0.061,5.9,0.311,2.1,0.2,1.9,-0.1,23,-2.7,0.305,92,0.272
2021,"Kolten Wong","MIL",116,445,121,73,32,2,14,70,50,31,1,83,13,3,0,2,12,5,492,0.063,0.169,0.37,0.272,0.335,0.447,0.783,0.175,5.3,0.305,0.3,1.2,1.9,-0.1,69,9,0.337,109,0.251
2022,"Kolten Wong","MIL",134,430,108,65,24,4,15,65,47,46,2,88,14,5,2,5,17,6,497,0.093,0.177,0.52,0.251,0.339,0.43,0.77,0.179,6.1,0.28,1.7,1.2,1.7,0.5,67,10.3,0.336,117,0.165
2020,"Kurt Suzuki","WSN",33,111,30,20,8,0,2,15,17,11,0,19,4,3,0,4,1,0,129,0.085,0.147,0.58,0.27,0.349,0.396,0.745,0.126,3.4,0.301,-1.1,0,-1.6,0.1,17,0.7,0.326,102,0.224
2021,"Kurt Suzuki","LAA",72,219,49,35,8,0,6,17,16,12,0,44,11,3,2,7,0,0,247,0.049,0.178,0.27,0.224,0.294,0.342,0.636,0.119,0.8,0.25,-0.7,-1,-1.1,-0.2,23,-6.7,0.282,75,0.18
2021,"Kyle Garlick","MIN",36,99,23,10,8,0,5,17,10,6,0,32,1,1,0,2,1,0,107,0.056,0.299,0.19,0.232,0.28,0.465,0.745,0.232,4.8,0.286,-0.4,0,0.2,0.1,13,0,0.314,100,0.233
2022,"Kyle Isbel","KCR",106,256,54,35,10,4,5,32,28,16,0,75,3,2,1,5,9,6,278,0.058,0.27,0.21,0.211,0.264,0.34,0.603,0.129,7.3,0.275,0.4,-0.4,0.7,-0.8,22,-9.8,0.265,66,0.24
2023,"Kyle Isbel","KCR",91,292,70,41,22,2,5,45,34,17,0,59,1,2,1,5,7,1,313,0.054,0.188,0.29,0.24,0.282,0.38,0.662,0.14,6.7,0.283,3,0.7,2.2,0.5,30,-8.4,0.286,76,0.229
2020,"Kyle Lewis","SEA",58,206,54,40,3,0,11,37,28,34,0,71,0,2,0,5,5,1,242,0.14,0.293,0.48,0.262,0.364,0.437,0.801,0.175,4,0.341,1.8,-0.4,0.7,0.3,36,6,0.349,127,0.246
2023,"Lawrence Butler","OAK",42,123,26,18,4,0,4,10,10,4,0,35,1,1,0,5,0,0,129,0.031,0.271,0.11,0.211,0.24,0.341,0.582,0.13,1,0.259,-0.3,-0.4,-0.1,-0.2,9,-7.2,0.251,59,0.262
2023,"Lenyn Sosa","CHW",52,164,33,21,6,0,6,12,14,5,1,40,0,1,3,3,0,1,173,0.029,0.231,0.13,0.201,0.224,0.348,0.571,0.146,1.2,0.227,-0.3,-0.2,-0.3,-0.6,10,-11.1,0.241,48,0.254
2020,"Leody Taveras","TEX",33,119,27,16,6,1,4,20,6,14,0,43,0,0,1,0,8,0,134,0.104,0.321,0.33,0.227,0.308,0.395,0.703,0.168,8.2,0.319,0.1,0.4,0.5,1.5,15,-1.5,0.307,93,0.161
2021,"Leody Taveras","TEX",49,174,28,17,6,2,3,14,9,9,0,60,1,0,1,3,10,1,185,0.049,0.324,0.15,0.161,0.207,0.27,0.477,0.109,7.9,0.225,1.2,-0.3,1.1,1.5,6,-16.1,0.209,28,0.261
2022,"Leody Taveras","TEX",99,314,82,61,14,2,5,39,34,21,0,88,2,3,1,2,11,5,341,0.062,0.258,0.24,0.261,0.309,0.366,0.675,0.105,5.6,0.344,1.2,1.1,1,-0.1,36,-3.4,0.297,93,0.266
2023,"Leody Taveras","TEX",143,511,136,88,31,3,14,67,67,35,0,117,1,4,3,3,14,4,554,0.063,0.211,0.3,0.266,0.312,0.421,0.733,0.155,5.3,0.318,1.5,2,2.5,0.2,66,-1.1,0.316,101,0.229
2021,"Lewin Díaz","MIA",40,122,25,12,4,1,8,16,13,6,1,33,0,0,0,1,0,0,128,0.047,0.258,0.18,0.205,0.242,0.451,0.693,0.246,3.2,0.21,-0.6,0.4,-0.1,-0.1,13,-2.8,0.288,78,0.169
2020,"Lourdes Gurriel Jr.","TOR",57,208,64,39,14,0,11,28,33,14,0,48,0,2,0,7,3,1,224,0.063,0.214,0.29,0.308,0.348,0.534,0.882,0.226,3.1,0.351,-1.3,-0.9,-1.1,0,38,9.9,0.372,134,0.276
2021,"Lourdes Gurriel Jr.","TOR",141,500,138,87,28,2,21,62,84,32,1,102,2,6,1,8,1,3,541,0.059,0.189,0.31,0.276,0.319,0.466,0.785,0.19,2.5,0.305,-0.9,0.4,-1.5,-1.5,74,8.2,0.333,107,0.291
2022,"Lourdes Gurriel Jr.","TOR",121,453,132,94,32,1,5,52,52,31,1,83,6,2,0,11,3,4,493,0.063,0.168,0.37,0.291,0.343,0.4,0.743,0.108,2.7,0.346,-2.2,-0.4,-1.6,-1.5,63,6.6,0.327,115,0.261
2023,"Lourdes Gurriel Jr.","ARI",145,551,144,83,35,2,24,65,82,33,1,103,6,2,0,20,5,0,592,0.056,0.174,0.32,0.261,0.309,0.463,0.772,0.201,3.9,0.282,-1.1,-2.2,0.1,0.1,78,5.4,0.329,105,0.279
2023,"Luis Campusano","SDP",49,163,52,38,7,0,7,27,30,7,0,21,3,1,0,8,0,0,174,0.04,0.121,0.33,0.319,0.356,0.491,0.847,0.172,1.9,0.331,-0.7,-1.1,-1.4,-0.4,28,6.6,0.364,133,0.227
2023,"Luis Matos","SFG",76,228,57,41,13,1,2,24,14,20,0,33,3,0,2,3,3,0,253,0.079,0.13,0.61,0.25,0.319,0.342,0.661,0.092,4.3,0.285,-1.3,0.3,-0.5,0.1,26,-4.9,0.295,85,0.213
2020,"Luis Rengifo","LAA",33,90,14,12,1,0,1,12,3,14,0,26,0,0,2,2,3,1,106,0.132,0.245,0.54,0.156,0.269,0.2,0.469,0.044,4.7,0.206,-0.8,-0.2,-0.4,0.1,5,-8.3,0.227,36,0.201
2021,"Luis Rengifo","LAA",54,174,35,28,1,0,6,22,18,9,0,38,2,2,3,3,1,0,190,0.047,0.2,0.24,0.201,0.246,0.31,0.556,0.109,3.6,0.22,0.6,0.4,1.4,0.1,12,-11.1,0.244,49,0.264
2022,"Luis Rengifo","LAA",127,489,129,86,22,4,17,45,52,17,0,79,4,0,1,11,6,2,511,0.033,0.155,0.22,0.264,0.294,0.429,0.724,0.166,4,0.285,2.3,-0.9,2.5,0,60,1.6,0.314,102,0.264
2023,"Luis Rengifo","LAA",126,394,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,445,0.092,0.184,0.5,0.264,0.339,0.444,0.783,0.18,4.8,0.293,0.6,0.9,0.9,-1.4,62,7.6,0.339,115,0.3
2020,"Luis Robert Jr.","CHW",56,202,47,28,8,0,11,33,31,20,0,73,1,2,0,4,9,2,227,0.088,0.322,0.27,0.233,0.302,0.436,0.738,0.203,5.3,0.3,0.4,0.5,0.3,0.8,28,-0.7,0.316,99,0.338
2021,"Luis Robert Jr.","CHW",68,275,93,57,22,1,13,42,43,14,1,61,5,2,0,4,6,1,296,0.047,0.206,0.23,0.338,0.378,0.567,0.946,0.229,4.8,0.394,0.7,0.2,-0.3,0.5,57,20.7,0.399,155,0.284
2022,"Luis Robert Jr.","CHW",98,380,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,401,0.042,0.192,0.22,0.284,0.319,0.426,0.746,0.142,4.6,0.329,3.4,0.4,1.1,0.6,50,4.6,0.324,111,0.264
2023,"Luis Robert Jr.","CHW",145,546,144,69,36,1,38,90,80,30,5,172,12,2,0,10,20,4,595,0.05,0.289,0.17,0.264,0.315,0.542,0.857,0.278,5.7,0.314,-0.9,1.4,-1.6,1.5,92,19.6,0.358,129,0.224
2021,"Luis Torrens","SEA",108,346,84,51,16,2,15,39,47,28,1,99,1,3,0,8,0,0,378,0.074,0.262,0.28,0.243,0.299,0.431,0.73,0.188,2.3,0.294,-0.3,-0.6,0.7,-0.3,45,-1,0.311,101,0.225
2022,"Luis Torrens","SEA",57,151,34,29,2,0,3,13,15,12,0,50,1,2,0,5,0,0,166,0.072,0.301,0.24,0.225,0.283,0.298,0.581,0.073,1,0.31,-0.9,-0.3,-0.8,-0.2,13,-6.4,0.261,73,0.229
2023,"Luke Raley","TBR",118,357,89,44,23,3,19,56,49,28,0,128,18,2,1,2,14,3,406,0.069,0.315,0.22,0.249,0.333,0.49,0.824,0.241,6.9,0.33,1.6,1.4,1.2,0.8,61,11.5,0.353,129,0.243
2020,"Luke Voit","NYY",56,213,59,32,5,0,22,41,52,17,0,54,3,1,0,4,0,0,234,0.073,0.231,0.31,0.277,0.338,0.61,0.948,0.333,1.7,0.268,0.1,0.2,-0.6,-0.2,44,14.5,0.393,153,0.239
2021,"Luke Voit","NYY",68,213,51,32,7,1,11,26,35,21,0,74,7,0,0,12,0,0,241,0.087,0.307,0.28,0.239,0.328,0.437,0.764,0.197,2.1,0.313,-0.5,-2.2,-0.3,-0.2,33,3.5,0.332,113,0.228
2022,"Luke Voit","WSN",53,202,46,33,4,0,9,17,21,16,0,69,4,2,0,4,0,0,224,0.071,0.308,0.23,0.228,0.295,0.381,0.676,0.153,0.5,0.294,-3.1,0.3,-1.8,-0.2,24,-2.1,0.298,91,0.225
2021,"Luke Williams","PHI",58,98,24,19,4,0,1,8,6,10,0,23,0,0,0,2,2,2,108,0.093,0.213,0.43,0.245,0.315,0.316,0.631,0.071,2.4,0.311,0.6,0,0.4,-0.5,10,-2.8,0.283,75,0.235
2022,"MJ Melendez","KCR",129,460,100,58,21,3,18,57,62,66,1,131,1,7,0,2,2,3,534,0.124,0.245,0.5,0.217,0.313,0.393,0.706,0.176,3.1,0.258,-0.7,1.7,-0.2,-1.3,61,0.2,0.31,97,0.235
2023,"MJ Melendez","KCR",148,533,125,75,29,5,16,65,56,62,2,170,3,4,0,4,6,4,602,0.103,0.282,0.36,0.235,0.316,0.398,0.713,0.163,4.5,0.311,-0.9,1.6,2.1,-1.6,69,-4.1,0.31,93,0.206
2020,"Maikel Franco","KCR",60,223,62,38,16,0,8,23,38,16,1,38,0,4,0,4,1,0,243,0.066,0.156,0.42,0.278,0.321,0.457,0.778,0.179,2.1,0.298,-0.6,-0.1,-0.7,0,32,1.9,0.329,105,0.21
2021,"Maikel Franco","BAL",104,377,79,46,22,0,11,31,47,20,0,67,3,3,0,12,0,0,403,0.05,0.166,0.3,0.21,0.253,0.355,0.609,0.146,0.9,0.225,0.1,-1.1,-0.1,-0.2,32,-17.3,0.263,62,0.229
2023,"Maikel Garcia","KCR",123,464,126,98,20,4,4,59,50,38,0,115,2,10,1,9,23,7,515,0.074,0.223,0.33,0.272,0.323,0.358,0.681,0.086,6.3,0.344,-0.7,-0.7,0.7,0.6,54,-8.4,0.299,85,0.231
2020,"Manny Machado","SDP",60,224,68,39,12,1,16,44,47,26,4,37,0,4,0,9,6,3,254,0.102,0.146,0.7,0.304,0.37,0.58,0.95,0.277,5,0.297,-0.2,-1.2,-0.7,-0.3,47,15.4,0.391,150,0.278
2021,"Manny Machado","SDP",153,564,157,96,31,2,28,92,106,63,10,102,2,11,0,10,12,3,640,0.098,0.159,0.62,0.278,0.347,0.489,0.836,0.211,4.7,0.29,-3.1,0.4,-0.9,0.6,96,18.7,0.35,123,0.298
2022,"Manny Machado","SDP",150,578,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,644,0.098,0.207,0.47,0.298,0.366,0.531,0.898,0.234,4.3,0.337,0.9,1.3,-1.1,0.8,110,36.8,0.382,152,0.258
2023,"Manny Machado","SDP",138,543,140,89,21,0,30,75,91,50,1,109,2,6,0,20,3,2,601,0.083,0.181,0.46,0.258,0.319,0.462,0.782,0.204,2.3,0.268,-0.7,-1.5,-1.1,-1.3,81,7.7,0.334,113,0.275
2020,"Manuel Margot","TBR",47,145,39,29,9,0,1,19,11,13,0,25,0,1,0,0,12,4,159,0.082,0.157,0.52,0.269,0.327,0.352,0.679,0.083,5.4,0.317,0.3,0.7,1,0.5,17,-2.6,0.301,94,0.254
2021,"Manuel Margot","TBR",125,421,107,76,18,3,10,55,57,37,2,70,1,4,1,4,13,8,464,0.08,0.151,0.53,0.254,0.313,0.382,0.696,0.128,5.2,0.281,1.4,1.3,0.9,-1.1,51,-5.1,0.301,94,0.274
2022,"Manuel Margot","TBR",89,336,92,68,18,2,4,36,47,24,1,68,2,1,0,7,7,3,363,0.066,0.187,0.35,0.274,0.325,0.375,0.7,0.101,4.4,0.332,2.8,-0.3,3.1,-0.2,41,-0.4,0.308,104,0.264
2023,"Manuel Margot","TBR",99,311,82,56,21,1,4,39,38,18,0,55,4,3,0,6,9,3,336,0.054,0.164,0.33,0.264,0.31,0.376,0.686,0.113,5.2,0.306,-1.1,-0.5,-2,-0.1,36,-5.3,0.299,92,0.238
2020,"Marcell Ozuna","ATL",60,228,77,45,14,0,18,38,56,38,3,60,0,1,0,3,0,0,267,0.142,0.225,0.63,0.338,0.431,0.636,1.067,0.298,0.8,0.391,-0.6,0.7,0.7,-0.3,61,27.9,0.444,178,0.213
2021,"Marcell Ozuna","ATL",48,188,40,27,6,0,7,21,26,19,0,46,1,0,0,6,0,0,208,0.091,0.221,0.41,0.213,0.288,0.356,0.645,0.144,1.2,0.244,-0.6,-0.5,-0.4,-0.2,20,-5.2,0.284,74,0.226
2022,"Marcell Ozuna","ATL",124,470,106,64,19,0,23,56,56,31,0,122,2,4,0,12,2,1,507,0.061,0.241,0.25,0.226,0.274,0.413,0.687,0.187,2.4,0.252,-1.3,-0.9,-1.6,-0.4,53,-4.8,0.298,90,0.274
2023,"Marcell Ozuna","ATL",144,530,145,75,29,1,40,84,100,57,1,134,3,2,0,9,0,0,592,0.096,0.226,0.43,0.274,0.346,0.558,0.905,0.285,1.7,0.293,-0.2,0.8,-1.1,-1,103,30.8,0.381,140,0.302
2023,"Mark Vientos","NYM",65,218,46,31,5,1,9,19,22,10,0,71,3,2,0,5,1,0,233,0.043,0.305,0.14,0.211,0.253,0.367,0.62,0.156,3.2,0.264,-2.3,0.2,-1.1,-0.1,19,-9.9,0.267,68,0.266
2020,"Martín Maldonado","HOU",47,135,29,19,4,0,6,19,24,27,0,51,1,0,2,2,1,0,165,0.164,0.309,0.53,0.215,0.35,0.378,0.727,0.163,2.6,0.295,-2.1,-0.2,-1.8,0.1,22,0.9,0.326,107,0.172
2021,"Martín Maldonado","HOU",125,373,64,41,10,1,12,40,36,47,1,127,5,1,0,9,0,0,426,0.11,0.298,0.37,0.172,0.272,0.3,0.573,0.129,2,0.221,-4.4,-0.3,-4.3,-0.3,32,-20,0.258,61,0.186
2022,"Martín Maldonado","HOU",113,344,64,37,12,0,15,40,45,22,0,116,7,2,4,6,0,0,379,0.058,0.306,0.19,0.186,0.248,0.352,0.6,0.166,1.7,0.228,-3.9,0.3,-2.8,-0.3,30,-13.7,0.264,71,0.191
2023,"Martín Maldonado","HOU",117,362,69,42,12,0,15,33,36,30,0,139,3,0,12,10,0,0,407,0.074,0.342,0.22,0.191,0.258,0.348,0.606,0.157,0.9,0.26,-1.6,-0.4,-1.2,-0.6,32,-17.7,0.266,66,0.119
2023,"Masataka Yoshida","BOS",140,537,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,580,0.059,0.14,0.42,0.289,0.338,0.445,0.783,0.156,4.9,0.316,-2.8,-2.7,-2.4,0.5,80,9.7,0.339,111,0.28
2023,"Masyn Winn","STL",37,122,21,17,2,0,2,8,12,10,0,26,0,3,2,1,2,1,137,0.073,0.19,0.38,0.172,0.23,0.238,0.467,0.066,2.8,0.196,0.4,0.4,0.4,-0.2,4,-12.2,0.211,29,0.267
2020,"Matt Carpenter","STL",50,140,26,16,6,0,4,22,24,23,1,48,6,0,0,1,0,0,169,0.136,0.284,0.48,0.186,0.325,0.314,0.64,0.129,2,0.25,-0.4,1.1,-0.8,-0.1,17,-3.8,0.293,85,0.169
2021,"Matt Carpenter","STL",130,207,35,20,11,1,3,18,21,35,1,77,6,1,0,1,2,0,249,0.141,0.309,0.45,0.169,0.305,0.275,0.581,0.106,3.8,0.25,-0.8,1,0.2,0.2,21,-9.4,0.269,68,0.305
2022,"Matt Carpenter","NYY",47,128,39,15,9,0,15,28,37,19,1,35,5,1,1,2,0,0,154,0.123,0.227,0.54,0.305,0.412,0.727,1.138,0.422,1.4,0.304,-1.1,0.4,-0.1,-0.2,37,19.8,0.472,216,0.176
2023,"Matt Carpenter","SDP",76,188,33,16,12,0,5,18,31,41,0,67,2,5,0,2,1,0,237,0.173,0.283,0.61,0.176,0.322,0.319,0.641,0.144,1.9,0.231,-0.8,0.9,-0.6,-0.3,24,-5.1,0.293,85,0.234
2020,"Matt Chapman","OAK",37,142,33,12,9,2,10,22,25,8,0,54,1,1,0,2,0,0,152,0.053,0.355,0.15,0.232,0.276,0.535,0.812,0.303,4.4,0.291,-0.2,0.3,0.4,-0.1,21,2,0.335,118,0.21
2021,"Matt Chapman","OAK",151,529,111,66,15,3,27,75,72,80,0,202,4,9,0,6,3,2,622,0.129,0.325,0.4,0.21,0.314,0.403,0.716,0.193,3.6,0.272,0.9,1.9,-0.1,-0.8,74,-1.5,0.311,101,0.229
2022,"Matt Chapman","TOR",155,538,123,68,27,1,27,83,76,68,1,170,10,5,0,7,2,2,621,0.11,0.274,0.4,0.229,0.324,0.433,0.757,0.204,2.9,0.277,2.2,1.9,2.1,-1,81,10.4,0.331,118,0.24
2023,"Matt Chapman","TOR",140,509,122,64,39,2,17,66,54,62,1,165,8,2,0,4,4,2,581,0.107,0.284,0.38,0.24,0.33,0.424,0.755,0.185,3.7,0.319,1.3,2,0.3,-1.1,76,4.8,0.328,109,0.247
2023,"Matt Thaiss","LAA",95,262,56,41,6,0,9,32,31,36,1,83,6,3,0,4,2,0,307,0.117,0.27,0.43,0.214,0.319,0.34,0.659,0.126,2.8,0.272,-0.9,-0.1,-1.7,-0.2,32,-5.9,0.295,85,0.204
2022,"Matt Vierling","PHI",117,325,80,60,12,2,6,41,32,23,0,70,3,6,0,7,7,4,357,0.064,0.196,0.33,0.246,0.297,0.351,0.648,0.105,5.1,0.29,0.9,0.1,0.2,-0.5,34,-7,0.285,82,0.261
2023,"Matt Vierling","DET",134,479,125,89,21,5,10,63,44,44,1,112,5,1,1,8,6,6,530,0.083,0.211,0.39,0.261,0.329,0.388,0.717,0.127,4.7,0.321,1.6,0.1,2.2,-2.4,63,-1.7,0.315,99,0.257
2023,"Matt Wallner","MIN",76,213,53,27,11,1,14,42,41,28,1,80,13,0,0,1,2,1,254,0.11,0.315,0.35,0.249,0.37,0.507,0.877,0.258,4.8,0.328,1.1,1,0.9,-0.5,43,12.4,0.377,141,0.259
2020,"Mauricio Dubón","SFG",54,157,43,34,4,1,4,21,19,15,0,36,1,2,1,4,2,3,177,0.085,0.203,0.42,0.274,0.337,0.389,0.726,0.115,3.8,0.328,0.5,0,0.2,-1.1,22,-0.3,0.318,99,0.24
2021,"Mauricio Dubón","SFG",74,175,42,28,9,0,5,20,22,9,2,41,1,2,0,5,2,1,187,0.048,0.219,0.22,0.24,0.278,0.377,0.655,0.137,3.3,0.282,-1.2,-0.2,-1.4,-0.1,17,-5.7,0.278,75,0.208
2022,"Mauricio Dubón","HOU",83,197,41,30,8,0,3,21,16,12,0,26,1,3,3,7,2,3,216,0.056,0.12,0.46,0.208,0.254,0.294,0.548,0.086,2.9,0.222,1,-1,0.9,-1,13,-11.4,0.243,56,0.278
2023,"Mauricio Dubón","HOU",132,467,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,492,0.039,0.142,0.27,0.278,0.309,0.411,0.72,0.133,5.6,0.308,1.2,-0.8,1,-0.3,57,-3.2,0.311,97,0.269
2020,"Max Muncy","LAD",58,203,39,23,4,0,12,36,27,39,2,60,4,2,0,3,1,0,248,0.157,0.242,0.65,0.192,0.331,0.389,0.72,0.197,3,0.203,-0.8,0.4,0.1,0,30,-0.8,0.316,98,0.249
2021,"Max Muncy","LAD",144,497,124,60,26,2,36,95,94,83,5,120,11,1,0,7,2,1,592,0.14,0.203,0.69,0.249,0.368,0.527,0.895,0.278,3.6,0.257,1.1,1.5,-0.7,-0.5,103,31.5,0.379,139,0.196
2022,"Max Muncy","LAD",136,464,91,47,22,1,21,69,69,90,1,141,5,6,0,2,2,0,565,0.159,0.25,0.64,0.196,0.329,0.384,0.713,0.188,3,0.227,-0.2,2.5,-0.3,-0.2,68,3.7,0.318,106,0.212
2023,"Max Muncy","LAD",135,482,102,48,17,1,36,95,105,85,4,153,6,6,0,8,1,2,579,0.147,0.264,0.56,0.212,0.333,0.475,0.808,0.263,2.9,0.221,1.9,0.7,0.6,-1.7,83,12.4,0.344,117,0.232
2021,"Michael A. Taylor","KCR",142,483,118,89,16,1,12,58,54,33,0,144,5,5,2,9,14,7,528,0.063,0.273,0.23,0.244,0.297,0.356,0.653,0.112,4.5,0.319,1.5,-0.6,-0.1,-0.6,51,-12.6,0.286,75,0.254
2022,"Michael A. Taylor","KCR",124,414,105,83,10,3,9,49,43,35,0,109,2,3,2,6,4,2,456,0.077,0.239,0.32,0.254,0.313,0.357,0.67,0.104,4.1,0.321,0.4,0.7,1.1,-0.5,48,-4.5,0.297,88,0.22
2023,"Michael A. Taylor","MIN",129,355,78,42,14,1,21,48,51,26,0,130,3,1,3,7,13,1,388,0.067,0.335,0.2,0.22,0.278,0.442,0.72,0.223,5.8,0.278,0.9,-0.2,1.4,1.6,44,-3.5,0.308,93,0.193
2020,"Michael Brantley","HOU",46,170,51,31,15,0,5,24,22,17,0,28,0,0,0,3,2,0,187,0.091,0.15,0.61,0.3,0.364,0.476,0.84,0.176,3.5,0.336,-2.2,0.4,-0.6,0.2,30,6.7,0.362,131,0.311
2021,"Michael Brantley","HOU",121,469,146,106,29,3,8,68,47,33,1,53,5,1,0,11,1,0,508,0.065,0.104,0.62,0.311,0.362,0.437,0.799,0.126,3.4,0.337,-1,0.1,-0.5,-0.3,75,13.5,0.347,121,0.288
