Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2021,Christian Yelich,MIL,117,399,99,69,19,2,9,70,51,70,5,113,3,3,0,5,9,3,475,0.147,0.23800000000000002,0.62,0.248,0.362,0.373,0.736,0.125,5.0,0.321,0.9,0.8,1.0,0.1,62,4.0,0.325,102,0.252
2022,Christian Yelich,MIL,154,575,145,102,25,4,14,99,57,88,5,162,5,2,1,9,19,3,671,0.131,0.24100000000000002,0.54,0.252,0.355,0.383,0.738,0.13,6.0,0.327,1.3,0.3,1.4,1.8,86,9.5,0.328,111,0.278
2023,Christian Yelich,MIL,144,550,153,99,34,1,19,106,76,78,7,140,3,1,0,15,28,3,632,0.12300000000000001,0.222,0.56,0.278,0.37,0.447,0.818,0.169,6.0,0.342,6.2,-1.7,4.3,3.0,95,18.4,0.353,123,0.315
2022,Christopher Morel,CHC,113,379,89,50,19,4,16,55,47,38,0,137,3,2,3,6,10,7,425,0.08900000000000001,0.322,0.28,0.235,0.308,0.433,0.741,0.198,5.9,0.32,2.4,0.7,3.0,-1.2,53,4.3,0.322,110,0.247
2023,Christopher Morel,CHC,107,388,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,429,0.084,0.31,0.27,0.247,0.313,0.508,0.821,0.26,5.5,0.303,1.6,1.0,2.8,-0.3,63,10.3,0.347,120,0.199
2024,Christopher Morel,CHC,103,362,72,46,7,1,18,43,51,47,2,103,8,4,0,11,7,5,421,0.11199999999999999,0.245,0.46,0.199,0.302,0.373,0.675,0.174,3.6,0.22,0.1,-1.3,-0.1,-1.4,45,-4.3,0.297,91,0.191
2020,Clint Frazier,NYY,39,131,35,20,6,1,8,24,26,25,0,44,3,1,0,5,3,0,160,0.156,0.275,0.57,0.267,0.394,0.511,0.905,0.244,5.6,0.338,0.2,-0.5,-0.5,0.4,29,9.3,0.388,150,0.186
2020,Cody Bellinger,LAD,56,213,51,29,10,0,12,33,30,30,2,42,0,0,0,4,6,1,243,0.12300000000000001,0.17300000000000001,0.71,0.239,0.333,0.455,0.789,0.216,4.2,0.245,-0.3,0.2,-0.5,0.6,34,3.6,0.337,112,0.165
2021,Cody Bellinger,LAD,95,315,52,31,9,2,10,39,36,31,2,94,1,3,0,2,3,1,350,0.08900000000000001,0.26899999999999996,0.33,0.165,0.24,0.302,0.542,0.137,5.0,0.196,0.7,1.4,1.5,0.0,20,-22.5,0.237,47,0.21
2022,Cody Bellinger,LAD,144,504,106,57,27,3,19,70,68,38,0,150,2,6,0,7,14,3,550,0.069,0.273,0.25,0.21,0.265,0.389,0.654,0.179,6.3,0.255,2.7,0.6,1.6,1.2,52,-11.2,0.284,83,0.307
2023,Cody Bellinger,CHC,130,499,153,97,29,1,26,95,97,40,3,87,5,12,0,7,20,6,556,0.07200000000000001,0.156,0.46,0.307,0.356,0.525,0.881,0.218,5.5,0.319,1.5,0.8,2.1,0.4,92,23.9,0.37,135,0.266
2020,Cole Tucker,PIT,37,109,24,20,3,0,1,17,8,5,0,31,0,1,1,3,1,0,116,0.043,0.267,0.16,0.22,0.252,0.275,0.527,0.055,4.6,0.295,0.7,-0.3,0.7,0.1,6,-8.5,0.233,41,0.222
2020,Colin Moran,PIT,52,178,44,24,10,0,10,28,23,19,0,52,2,1,0,9,0,0,200,0.095,0.26,0.37,0.247,0.325,0.472,0.797,0.225,1.6,0.291,-1.4,-1.4,-0.3,-0.1,29,3.5,0.34,112,0.258
2021,Colin Moran,PIT,99,318,82,60,12,0,10,29,50,36,0,87,2,3,0,6,1,0,359,0.1,0.242,0.41,0.258,0.334,0.39,0.724,0.132,1.5,0.321,-5.7,0.5,-4.1,-0.1,44,1.0,0.318,96,0.211
2021,Connor Joe,COL,63,179,51,34,9,0,8,23,35,26,0,41,3,3,0,1,0,0,211,0.12300000000000001,0.19399999999999998,0.63,0.285,0.379,0.469,0.848,0.184,0.9,0.323,0.7,0.6,-0.1,-0.2,35,9.0,0.366,114,0.238
2022,Connor Joe,COL,111,404,96,65,20,4,7,56,28,55,0,97,7,1,0,8,6,2,467,0.11800000000000001,0.20800000000000002,0.57,0.238,0.338,0.359,0.697,0.121,5.3,0.296,-0.2,0.0,1.2,-0.1,55,1.5,0.314,89,0.247
2023,Connor Joe,PIT,133,413,102,56,31,4,11,63,42,50,0,110,8,1,0,4,3,5,472,0.106,0.233,0.45,0.247,0.339,0.421,0.76,0.174,4.4,0.311,1.7,1.3,-0.4,-2.4,63,5.5,0.332,106,0.228
2023,Connor Wong,BOS,126,371,87,51,25,2,9,55,36,22,0,134,6,1,3,4,8,2,403,0.055,0.33299999999999996,0.16,0.235,0.288,0.385,0.673,0.151,6.2,0.341,-0.1,1.1,-0.5,0.1,40,-8.7,0.292,79,0.28
2022,Corbin Carroll,ARI,32,104,27,12,9,2,4,13,14,8,0,31,3,0,0,1,2,1,115,0.07,0.27,0.26,0.26,0.33,0.5,0.83,0.24,6.0,0.333,0.8,0.2,1.6,-0.1,18,4.4,0.358,130,0.285
2023,Corbin Carroll,ARI,155,565,161,96,30,10,25,116,76,57,1,125,13,4,6,7,54,5,645,0.08800000000000001,0.19399999999999998,0.46,0.285,0.362,0.506,0.868,0.221,9.3,0.325,6.0,2.4,4.9,7.4,106,27.8,0.37,133,0.231
2020,Corey Dickerson,MIA,52,194,50,37,5,1,7,25,17,15,1,35,0,0,0,5,1,1,210,0.071,0.16699999999999998,0.43,0.258,0.311,0.402,0.713,0.144,3.3,0.283,0.7,-0.3,-0.2,-0.4,24,-2.1,0.308,93,0.282
2021,Corey Dickerson,TOR,46,131,37,25,6,2,4,16,15,9,1,23,0,0,0,3,4,1,140,0.064,0.16399999999999998,0.39,0.282,0.329,0.45,0.779,0.168,6.3,0.317,0.3,0.0,-0.3,0.3,19,2.0,0.332,107,0.263
2021,Corey Dickerson,MIA,63,205,54,37,12,3,2,27,14,16,0,45,3,1,0,5,2,4,225,0.071,0.2,0.36,0.263,0.324,0.38,0.705,0.117,5.1,0.327,-0.5,0.1,1.3,-1.5,26,-1.1,0.308,91,0.267
2022,Corey Dickerson,STL,97,281,75,51,17,1,6,28,36,12,1,48,2,2,0,4,0,0,297,0.04,0.162,0.25,0.267,0.3,0.399,0.698,0.132,2.0,0.301,-0.5,0.4,1.2,-0.3,32,-1.7,0.303,96,0.25
2023,Corey Julks,HOU,93,298,73,53,14,0,6,35,33,22,0,75,1,2,0,6,15,3,323,0.068,0.23199999999999998,0.29,0.245,0.297,0.352,0.65,0.107,5.0,0.306,-0.3,-0.1,0.0,1.1,31,-8.8,0.286,79,0.214
2020,Corey Seager,LAD,52,212,65,37,12,1,15,38,41,17,0,37,1,2,0,8,1,0,232,0.073,0.159,0.46,0.307,0.358,0.585,0.943,0.278,3.9,0.309,-1.0,-0.8,-0.1,0.0,44,14.5,0.394,149,0.306
2021,Corey Seager,LAD,95,353,108,67,22,3,16,54,57,48,2,66,5,3,0,8,1,1,409,0.11699999999999999,0.161,0.73,0.306,0.394,0.521,0.915,0.215,3.3,0.336,-0.7,-0.6,0.5,-0.6,75,25.3,0.389,146,0.245
2022,Corey Seager,TEX,151,593,145,87,24,1,33,91,83,58,7,103,7,5,0,14,3,0,663,0.087,0.155,0.56,0.245,0.317,0.455,0.772,0.211,3.2,0.242,2.9,-0.3,0.2,0.0,87,11.3,0.331,117,0.327
2023,Corey Seager,TEX,119,477,156,81,42,0,33,88,96,49,9,88,4,6,0,9,2,1,536,0.091,0.16399999999999998,0.56,0.327,0.39,0.623,1.013,0.296,2.4,0.34,-4.4,0.0,-1.8,-1.0,110,44.6,0.419,173,0.278
2022,Cristian Pache,OAK,91,241,40,30,5,2,3,18,18,15,0,70,1,0,3,5,2,2,260,0.057999999999999996,0.26899999999999996,0.21,0.166,0.218,0.241,0.459,0.075,4.1,0.22,-0.4,-0.7,0.1,-0.6,9,-21.1,0.207,33,0.202
2021,Curt Casali,SFG,77,200,42,25,11,1,5,20,26,26,4,66,4,0,1,3,0,0,231,0.113,0.28600000000000003,0.39,0.21,0.313,0.35,0.663,0.14,2.0,0.287,-0.6,0.6,-1.2,-0.2,23,-4.8,0.289,82,0.231
2022,Curt Casali,SFG,41,108,25,18,3,0,4,13,14,15,0,36,1,2,0,1,0,0,126,0.11900000000000001,0.28600000000000003,0.42,0.231,0.325,0.37,0.696,0.139,1.1,0.3,-0.4,0.2,0.0,-0.1,14,0.0,0.31,101,0.194
2020,César Hernández,CLE,58,233,66,43,20,0,3,35,20,24,0,57,2,0,1,3,0,0,261,0.092,0.218,0.42,0.283,0.355,0.408,0.763,0.124,1.8,0.364,0.7,-0.1,0.2,-0.2,36,3.5,0.335,112,0.232
2021,César Hernández,CHW,53,194,45,38,4,0,3,24,15,21,2,45,1,1,0,5,1,1,217,0.09699999999999999,0.207,0.47,0.232,0.309,0.299,0.608,0.067,2.4,0.286,0.0,0.0,-0.3,-0.4,18,-7.8,0.271,69,0.231
2021,César Hernández,CLE,96,376,87,50,17,2,18,60,47,38,0,90,4,2,0,6,0,0,420,0.09,0.214,0.42,0.231,0.307,0.431,0.738,0.199,3.0,0.256,1.6,-0.1,0.6,-0.3,52,1.2,0.318,103,0.248
2020,DJ LeMahieu,NYY,50,195,71,49,10,2,10,41,27,18,0,21,2,1,0,3,3,0,216,0.083,0.09699999999999999,0.86,0.364,0.421,0.59,1.011,0.226,5.8,0.37,0.4,-0.1,-0.4,0.4,47,19.8,0.429,177,0.268
2021,DJ LeMahieu,NYY,150,597,160,125,24,1,10,84,57,73,2,94,4,5,0,16,4,2,679,0.10800000000000001,0.138,0.78,0.268,0.349,0.362,0.711,0.094,3.0,0.301,0.8,-1.8,-1.6,-0.7,83,0.4,0.315,101,0.261
2022,DJ LeMahieu,NYY,125,467,122,92,18,0,12,74,46,67,0,71,4,2,1,12,4,3,541,0.124,0.131,0.94,0.261,0.357,0.377,0.734,0.116,2.8,0.285,-1.9,-1.0,-1.4,-1.1,70,8.5,0.329,115,0.243
2023,DJ LeMahieu,NYY,136,497,121,81,22,3,15,55,44,60,2,125,3,2,0,14,2,2,562,0.107,0.222,0.48,0.243,0.327,0.39,0.718,0.147,3.0,0.295,-3.6,-1.9,-2.9,-1.5,67,-1.8,0.315,100,0.204
2020,DJ Stewart,BAL,31,88,17,8,2,0,7,13,15,20,0,38,2,0,2,0,0,0,112,0.179,0.33899999999999997,0.53,0.193,0.355,0.455,0.809,0.261,0.8,0.233,0.0,0.6,-0.1,-0.1,17,3.1,0.353,123,0.204
2021,DJ Stewart,BAL,100,270,55,33,10,0,12,39,33,44,1,89,4,0,0,3,0,0,318,0.138,0.28,0.49,0.204,0.324,0.374,0.698,0.17,1.5,0.254,1.4,0.6,0.6,-0.3,37,-1.3,0.31,94,0.244
2023,DJ Stewart,NYM,58,160,39,19,9,0,11,21,26,15,0,56,7,1,1,3,1,1,185,0.081,0.303,0.27,0.244,0.333,0.506,0.84,0.263,2.0,0.298,-0.5,0.8,0.4,-0.5,29,6.1,0.358,129,0.177
2023,Dairon Blanco,KCR,69,124,32,18,7,4,3,19,18,10,0,33,2,0,2,2,24,5,138,0.07200000000000001,0.239,0.3,0.258,0.324,0.452,0.775,0.194,9.0,0.33,-0.3,0.0,0.5,2.5,18,1.7,0.333,109,0.258
2021,Daniel Vogelbach,MIL,93,215,47,30,8,0,9,30,24,43,1,57,0,0,0,6,0,0,258,0.16699999999999998,0.221,0.75,0.219,0.349,0.381,0.73,0.163,1.1,0.255,-3.1,-0.8,-3.8,-0.2,33,2.2,0.325,102,0.255
2022,Daniel Vogelbach,NYM,55,149,38,23,9,0,6,18,25,33,1,47,1,0,0,3,0,0,183,0.18,0.257,0.7,0.255,0.393,0.436,0.83,0.181,0.7,0.333,-1.2,0.1,-0.9,-0.2,29,8.4,0.367,142,0.228
2022,Daniel Vogelbach,PIT,75,237,54,31,10,1,12,29,34,40,1,67,0,1,0,8,0,0,278,0.14400000000000002,0.24100000000000002,0.6,0.228,0.338,0.43,0.769,0.203,1.8,0.264,-0.9,-0.8,-2.2,-0.3,38,6.0,0.337,115,0.233
2020,Danny Jansen,TOR,43,120,22,13,3,0,6,18,20,21,0,31,2,1,3,1,0,0,147,0.14300000000000002,0.21100000000000002,0.68,0.183,0.313,0.358,0.671,0.175,1.5,0.19,-1.2,0.6,-0.5,-0.1,16,-2.5,0.3,84,0.223
2021,Danny Jansen,TOR,70,184,41,17,13,0,11,32,28,17,0,44,3,0,1,4,0,0,205,0.083,0.215,0.39,0.223,0.299,0.473,0.772,0.25,2.3,0.233,-0.2,-0.2,-0.8,-0.1,27,2.4,0.329,105,0.26
2022,Danny Jansen,TOR,72,215,56,31,10,0,15,34,44,25,1,44,3,5,0,1,1,0,248,0.10099999999999999,0.177,0.57,0.26,0.339,0.516,0.855,0.256,2.5,0.255,-0.1,0.9,0.4,0.0,39,10.6,0.364,141,0.228
2023,Danny Jansen,TOR,86,268,61,29,15,0,17,38,53,23,1,62,10,0,0,3,0,0,301,0.076,0.20600000000000002,0.37,0.228,0.312,0.474,0.786,0.246,1.5,0.233,0.3,1.0,-0.6,-0.5,41,4.5,0.336,115,0.212
2020,Danny Mendick,CHW,33,107,26,18,4,1,3,11,6,6,0,25,0,1,0,3,0,1,114,0.053,0.21899999999999997,0.24,0.243,0.281,0.383,0.664,0.14,3.3,0.288,0.5,-0.4,0.0,-0.5,11,-3.3,0.285,78,0.22
2021,Danny Mendick,CHW,71,164,36,29,5,0,2,14,20,18,0,42,2,1,1,1,0,1,186,0.09699999999999999,0.226,0.43,0.22,0.303,0.287,0.589,0.067,1.3,0.281,0.5,1.0,0.2,-0.6,15,-7.1,0.268,67,0.289
2022,Danny Mendick,CHW,31,97,28,20,4,1,3,22,15,7,0,23,1,0,1,2,1,0,106,0.066,0.217,0.3,0.289,0.343,0.443,0.786,0.155,6.4,0.352,0.7,0.2,0.3,0.1,15,2.9,0.344,125,0.197
2020,Dansby Swanson,ATL,60,237,65,40,15,0,10,49,35,22,0,71,4,1,0,0,5,0,264,0.083,0.26899999999999996,0.31,0.274,0.345,0.464,0.809,0.19,5.4,0.35,1.9,1.5,0.9,0.8,39,6.4,0.348,115,0.248
2021,Dansby Swanson,ATL,160,588,146,84,33,2,27,78,88,52,4,167,5,7,1,7,9,3,653,0.08,0.256,0.31,0.248,0.311,0.449,0.76,0.201,4.2,0.297,2.0,1.3,1.7,0.1,83,4.3,0.322,99,0.277
2022,Dansby Swanson,ATL,162,640,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,696,0.07,0.261,0.27,0.277,0.329,0.447,0.776,0.17,4.8,0.348,3.2,-0.2,3.6,0.1,95,15.3,0.337,117,0.244
2023,Dansby Swanson,CHC,147,565,138,88,25,3,22,81,80,66,0,154,5,2,0,9,9,1,638,0.10300000000000001,0.24100000000000002,0.43,0.244,0.328,0.416,0.744,0.172,4.8,0.297,3.2,1.2,2.2,0.2,81,3.3,0.325,105,0.242
2020,Darin Ruf,SFG,40,87,24,13,6,0,5,11,18,13,0,23,0,0,0,1,1,0,100,0.13,0.23,0.57,0.276,0.37,0.517,0.887,0.241,2.7,0.322,0.3,0.5,-0.4,0.1,18,5.0,0.379,140,0.271
2021,Darin Ruf,SFG,117,262,71,40,13,2,16,41,43,46,2,87,3,1,0,8,2,0,312,0.147,0.27899999999999997,0.53,0.271,0.385,0.519,0.904,0.248,4.1,0.344,-0.6,-0.5,-0.5,0.1,56,18.0,0.384,144,0.216
2020,Daulton Varsho,ARI,37,101,19,9,5,2,3,16,9,12,0,33,2,0,0,1,3,1,115,0.10400000000000001,0.287,0.36,0.188,0.287,0.366,0.653,0.178,7.7,0.246,-0.5,0.3,0.8,0.1,11,-3.2,0.287,76,0.246
2021,Daulton Varsho,ARI,95,284,70,40,17,2,11,41,38,30,3,67,0,0,1,4,6,0,315,0.095,0.213,0.45,0.246,0.318,0.437,0.755,0.19,5.7,0.286,3.0,1.0,1.9,1.0,40,2.0,0.322,100,0.235
2022,Daulton Varsho,ARI,151,531,125,72,23,3,27,79,74,46,0,145,7,5,2,8,16,6,592,0.078,0.245,0.32,0.235,0.302,0.443,0.745,0.207,5.7,0.269,2.9,0.2,1.9,0.3,74,6.1,0.323,106,0.22
2023,Daulton Varsho,TOR,158,527,116,70,23,3,20,65,61,45,0,135,4,3,1,5,16,7,581,0.077,0.23199999999999998,0.33,0.22,0.285,0.389,0.674,0.169,5.4,0.256,2.1,1.4,3.0,-0.7,58,-12.5,0.293,84,0.214
2020,David Bote,CHC,45,125,25,14,3,1,7,15,29,17,0,40,2,1,0,6,2,0,145,0.11699999999999999,0.276,0.43,0.2,0.303,0.408,0.711,0.208,4.9,0.228,0.5,-0.6,0.0,0.3,17,-1.3,0.309,92,0.199
2021,David Bote,CHC,97,291,58,38,10,2,8,32,35,27,0,73,5,3,1,13,0,1,327,0.083,0.223,0.37,0.199,0.276,0.33,0.606,0.131,3.0,0.235,-0.9,-1.5,-0.3,-0.7,27,-12.6,0.268,66,0.259
2020,David Fletcher,LAA,49,207,66,50,13,0,3,31,18,20,0,25,0,2,1,4,2,1,230,0.087,0.109,0.8,0.319,0.376,0.425,0.801,0.106,3.0,0.348,0.0,-0.4,-0.6,-0.3,35,5.9,0.35,121,0.262
2021,David Fletcher,LAA,157,626,164,132,27,3,2,74,47,31,1,60,1,1,6,10,15,3,665,0.047,0.09,0.52,0.262,0.297,0.324,0.622,0.062,5.2,0.287,2.3,-0.2,1.8,1.2,58,-22.7,0.273,69,0.255
2023,David Fry,CLE,58,101,24,14,6,0,4,12,15,8,0,30,4,0,0,3,2,0,113,0.071,0.265,0.27,0.238,0.319,0.416,0.734,0.178,4.1,0.299,0.4,0.0,-0.3,0.2,14,0.3,0.321,105,0.263
2020,David Peralta,ARI,54,203,61,45,10,1,5,19,34,13,0,45,0,2,0,4,1,0,218,0.06,0.20600000000000002,0.29,0.3,0.339,0.433,0.773,0.133,3.1,0.361,-0.2,0.2,-0.5,0.0,30,2.5,0.333,106,0.259
2021,David Peralta,ARI,150,487,126,80,30,8,8,57,63,46,3,92,3,2,0,9,2,1,538,0.086,0.171,0.5,0.259,0.325,0.402,0.728,0.144,4.6,0.303,1.9,0.6,1.8,-0.5,65,-0.1,0.314,95,0.255
2022,David Peralta,TBR,47,161,41,29,11,1,0,10,18,14,1,40,2,3,0,2,0,1,180,0.078,0.222,0.35,0.255,0.317,0.335,0.652,0.081,2.3,0.331,0.5,0.4,0.7,-0.6,17,-3.1,0.288,90,0.248
2022,David Peralta,ARI,87,278,69,36,19,2,12,29,41,27,4,74,2,3,0,6,1,2,310,0.087,0.239,0.36,0.248,0.316,0.46,0.777,0.212,2.7,0.292,0.3,0.3,1.2,-0.8,41,5.1,0.331,112,0.259
2023,David Peralta,LAD,133,394,102,69,25,1,7,47,55,20,1,72,2,6,0,8,4,1,422,0.047,0.171,0.28,0.259,0.294,0.381,0.675,0.122,4.0,0.296,-3.9,0.1,-2.8,-0.3,42,-9.8,0.29,80,0.267
2022,David Villar,SFG,52,156,36,20,6,1,9,21,24,18,0,58,6,1,0,4,0,1,181,0.099,0.32,0.31,0.231,0.331,0.455,0.787,0.224,3.1,0.3,0.4,-0.1,-0.4,-0.6,26,4.9,0.344,124,0.145
2023,Davis Schneider,TOR,35,116,32,11,12,1,8,23,20,21,0,43,4,0,0,2,1,0,141,0.149,0.305,0.49,0.276,0.404,0.603,1.008,0.328,5.1,0.369,-0.3,0.5,-0.2,-0.1,30,12.3,0.424,175,0.191
2021,Daz Cameron,DET,35,103,20,11,5,0,4,16,13,10,0,38,2,0,0,2,6,0,115,0.087,0.33,0.26,0.194,0.278,0.359,0.637,0.165,6.6,0.262,1.3,-0.1,1.1,1.1,11,-3.2,0.281,76,0.2
2021,Derek Hill,DET,49,139,36,27,3,3,3,19,14,10,0,42,1,0,0,2,6,3,150,0.067,0.28,0.24,0.259,0.313,0.388,0.702,0.129,7.1,0.351,0.5,0.0,1.5,-0.2,17,-1.1,0.305,93,0.234
2020,Didi Gregorius,PHI,60,215,61,39,10,2,10,34,40,15,3,28,4,2,1,4,3,2,237,0.063,0.11800000000000001,0.54,0.284,0.339,0.488,0.827,0.205,4.9,0.285,0.1,0.7,0.6,-0.4,35,5.6,0.348,116,0.209
2021,Didi Gregorius,PHI,103,368,77,46,16,2,13,35,54,25,1,67,8,7,0,8,3,0,408,0.061,0.16399999999999998,0.37,0.209,0.27,0.37,0.639,0.16,3.9,0.217,0.8,0.4,0.5,0.3,36,-13.3,0.275,69,0.21
2023,Dominic Canzone,SEA,44,135,29,13,11,0,5,19,13,6,0,24,0,0,0,4,1,0,141,0.043,0.17,0.25,0.215,0.248,0.407,0.656,0.193,4.3,0.226,-1.2,-0.1,-1.2,0.1,13,-4.6,0.279,81,0.196
2023,Dominic Fletcher,ARI,28,93,28,20,5,1,2,10,14,7,1,22,0,0,2,0,0,2,102,0.069,0.21600000000000003,0.32,0.301,0.35,0.441,0.791,0.14,3.6,0.377,-0.3,0.6,0.0,-1.0,14,1.8,0.34,112,0.206
2020,Dominic Smith,NYM,50,177,56,24,21,1,10,27,42,14,0,45,5,3,0,2,0,0,199,0.07,0.226,0.31,0.316,0.377,0.616,0.993,0.299,2.5,0.368,-0.1,0.8,-0.3,-0.1,40,15.5,0.412,166,0.244
2021,Dominic Smith,NYM,145,446,109,78,20,0,11,43,58,32,2,112,9,6,0,13,2,1,493,0.065,0.22699999999999998,0.29,0.244,0.304,0.363,0.667,0.119,2.1,0.298,-3.3,-0.3,-2.2,-0.4,50,-9.7,0.291,84,0.194
2022,Dominic Smith,NYM,58,134,26,15,10,1,0,11,17,12,0,37,4,2,0,0,0,0,152,0.079,0.243,0.32,0.194,0.276,0.284,0.56,0.09,2.6,0.263,1.0,0.8,0.7,-0.1,11,-6.7,0.254,65,0.254
2023,Dominic Smith,WSN,153,527,134,100,21,1,12,57,46,47,1,91,10,2,0,12,1,1,586,0.08,0.155,0.52,0.254,0.326,0.366,0.692,0.112,2.2,0.286,-2.5,0.0,-4.5,-1.4,66,-5.8,0.306,91,0.237
2020,Donovan Solano,SFG,54,190,62,43,15,1,3,22,29,10,0,39,2,1,0,2,0,0,203,0.049,0.192,0.26,0.326,0.365,0.463,0.828,0.137,2.2,0.396,-0.2,0.8,0.1,-0.2,32,6.4,0.357,125,0.28
2021,Donovan Solano,SFG,101,307,86,62,17,0,7,35,31,25,2,58,7,4,1,8,2,0,344,0.073,0.16899999999999998,0.43,0.28,0.344,0.404,0.748,0.124,2.7,0.321,0.1,-0.4,-0.6,0.1,44,2.8,0.324,105,0.284
2022,Donovan Solano,CIN,80,278,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,304,0.063,0.201,0.31,0.284,0.339,0.385,0.724,0.101,0.7,0.349,-1.9,0.2,-1.8,-0.3,37,2.2,0.319,99,0.282
2023,Donovan Solano,MIN,134,394,111,79,26,1,5,43,38,40,1,100,15,1,0,8,0,0,450,0.08900000000000001,0.222,0.4,0.282,0.369,0.391,0.76,0.109,1.6,0.366,-1.8,0.1,-1.9,-1.0,62,7.3,0.338,114,0.286
2022,Drew Waters,KCR,32,96,23,11,6,1,5,14,18,12,0,40,0,0,0,1,0,0,109,0.11,0.36700000000000005,0.3,0.24,0.324,0.479,0.803,0.24,3.6,0.353,-0.4,0.3,0.4,-0.1,16,3.3,0.347,123,0.228
2020,Dylan Carlson,STL,35,110,22,11,7,1,3,11,16,8,0,35,0,1,0,3,1,1,119,0.067,0.294,0.23,0.2,0.252,0.364,0.616,0.164,4.5,0.26,-0.5,-0.3,0.0,-0.3,9,-5.6,0.264,66,0.266
2021,Dylan Carlson,STL,149,542,144,91,31,4,18,79,65,57,2,152,11,8,1,5,2,1,619,0.092,0.24600000000000002,0.38,0.266,0.343,0.437,0.78,0.172,4.0,0.332,-0.4,1.1,0.5,-0.6,86,11.0,0.336,111,0.236
2022,Dylan Carlson,STL,128,432,102,60,30,4,8,56,42,45,1,94,7,4,0,6,5,2,488,0.092,0.193,0.48,0.236,0.316,0.38,0.695,0.144,4.9,0.281,3.6,0.5,2.5,-0.3,54,-1.3,0.306,98,0.219
2023,Dylan Carlson,STL,76,219,48,34,8,1,5,27,27,26,0,49,7,3,0,4,3,0,255,0.102,0.192,0.53,0.219,0.318,0.333,0.651,0.114,4.7,0.256,0.0,0.0,0.0,0.1,26,-5.4,0.293,84,0.219
2024,Dylan Carlson,TBR,37,114,25,20,2,0,3,7,14,10,0,38,3,0,0,0,2,0,127,0.079,0.299,0.26,0.219,0.299,0.316,0.615,0.096,2.9,0.301,0.8,0.6,0.2,0.1,12,-3.3,0.278,84,0.198
2020,Dylan Moore,SEA,38,137,35,18,9,0,8,26,17,14,0,43,8,0,0,4,12,5,159,0.08800000000000001,0.27,0.33,0.255,0.358,0.496,0.855,0.241,6.0,0.314,0.5,-0.3,-0.1,0.1,26,6.4,0.368,140,0.181
2021,Dylan Moore,SEA,126,332,60,35,11,2,12,42,43,40,0,111,4,1,0,6,21,5,377,0.106,0.294,0.36,0.181,0.276,0.334,0.61,0.154,6.6,0.229,0.4,-0.6,0.5,1.8,32,-13.5,0.271,74,0.224
2022,Dylan Moore,SEA,104,205,46,27,11,2,6,41,24,34,2,75,13,1,1,5,21,8,255,0.133,0.294,0.45,0.224,0.368,0.385,0.753,0.161,8.3,0.32,2.0,-0.2,1.7,0.7,35,5.7,0.338,127,0.207
2023,Dylan Moore,SEA,67,145,30,13,9,1,7,18,19,16,0,56,4,0,0,1,7,3,165,0.09699999999999999,0.33899999999999997,0.29,0.207,0.303,0.428,0.731,0.221,6.0,0.28,-0.2,0.9,0.0,-0.1,20,-0.2,0.317,107,0.201
2020,Eddie Rosario,MIN,57,210,54,34,7,0,13,31,42,19,2,34,0,2,0,3,3,1,231,0.08199999999999999,0.147,0.56,0.257,0.316,0.476,0.792,0.219,3.3,0.248,-2.5,0.5,-3.2,0.0,32,2.6,0.333,112,0.271
2021,Eddie Rosario,ATL,33,96,26,13,4,2,7,13,16,9,0,14,0,1,0,1,2,1,106,0.085,0.132,0.64,0.271,0.33,0.573,0.903,0.302,5.5,0.25,0.1,-0.1,0.2,-0.1,18,5.4,0.375,134,0.254
2021,Eddie Rosario,CLE,78,283,72,49,15,1,7,29,46,17,0,47,1,3,2,3,9,2,306,0.055999999999999994,0.154,0.36,0.254,0.296,0.389,0.685,0.134,4.9,0.28,-0.1,0.6,-0.3,0.7,32,-4.8,0.295,88,0.212
2022,Eddie Rosario,ATL,80,250,53,35,12,1,5,27,24,17,0,68,0,3,0,3,3,0,270,0.063,0.252,0.25,0.212,0.259,0.328,0.587,0.116,4.6,0.267,0.3,0.6,-0.7,0.4,20,-11.0,0.258,63,0.255
2023,Eddie Rosario,ATL,142,478,122,74,24,3,21,64,74,34,1,122,1,2,1,13,3,4,516,0.066,0.23600000000000002,0.28,0.255,0.305,0.45,0.755,0.195,3.7,0.3,1.0,-0.7,0.0,-1.9,65,1.7,0.322,101,0.183
2021,Edmundo Sosa,STL,113,288,78,60,8,4,6,39,27,17,2,63,17,2,1,8,4,4,326,0.052000000000000005,0.193,0.27,0.271,0.346,0.389,0.735,0.118,5.2,0.326,0.5,-0.3,1.6,-1.2,41,2.0,0.322,102,0.189
2022,Edmundo Sosa,STL,53,122,23,16,4,3,0,17,8,4,0,38,5,0,0,3,3,1,131,0.031,0.29,0.11,0.189,0.244,0.27,0.515,0.082,7.9,0.274,1.2,-0.1,0.5,0.1,7,-8.1,0.232,47,0.251
