Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2020,Alec Bohm,PHI,44,160,54,39,11,0,4,24,23,16,0,36,2,2,0,4,1,1,180,0.08900000000000001,0.2,0.44,0.338,0.4,0.481,0.881,0.144,2.3,0.41,0.2,0.1,0.3,-0.4,32,9.3,0.381,138,0.247
2021,Alec Bohm,PHI,115,380,94,72,15,0,7,46,47,31,0,111,2,4,0,12,4,0,417,0.07400000000000001,0.266,0.28,0.247,0.305,0.342,0.647,0.095,3.6,0.327,-1.9,-1.0,-0.8,0.4,40,-10.1,0.285,76,0.28
2022,Alec Bohm,PHI,152,586,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,631,0.049,0.174,0.28,0.28,0.315,0.398,0.713,0.118,3.4,0.319,2.2,-1.3,-1.3,-1.4,72,0.0,0.31,98,0.274
2023,Alec Bohm,PHI,145,558,153,102,31,0,20,74,97,42,1,94,5,6,0,23,4,1,611,0.069,0.154,0.45,0.274,0.327,0.437,0.765,0.163,2.9,0.296,-3.2,-3.2,-2.5,-0.8,80,5.5,0.329,104,0.28
2023,Alec Burleson,STL,107,315,77,48,20,1,8,34,36,23,0,45,3,2,1,13,3,1,347,0.066,0.13,0.51,0.244,0.3,0.39,0.691,0.146,3.4,0.261,-2.6,-1.7,-1.6,-0.4,37,-5.2,0.3,89,0.269
2021,Aledmys Díaz,HOU,84,294,76,49,19,0,8,28,45,16,3,62,9,0,0,7,0,1,319,0.05,0.19399999999999998,0.26,0.259,0.317,0.405,0.721,0.146,1.3,0.304,-1.6,-0.5,0.0,-0.7,38,-1.0,0.311,97,0.243
2022,Aledmys Díaz,HOU,92,305,74,49,13,0,12,35,38,18,0,53,2,2,0,7,1,1,327,0.055,0.162,0.34,0.243,0.287,0.403,0.691,0.161,2.1,0.256,-2.6,-0.7,-2.0,-0.5,35,-2.3,0.301,97,0.229
2021,Alejandro Kirk,TOR,60,165,40,24,8,0,8,19,24,19,0,22,3,2,0,7,0,0,189,0.10099999999999999,0.11599999999999999,0.86,0.242,0.328,0.436,0.764,0.194,0.9,0.234,-0.7,-0.8,-0.6,-0.2,25,2.5,0.33,106,0.285
2022,Alejandro Kirk,TOR,139,470,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,541,0.11599999999999999,0.107,1.09,0.285,0.372,0.415,0.786,0.13,1.1,0.299,-5.9,-0.5,-4.6,-0.7,78,16.1,0.347,129,0.25
2023,Alejandro Kirk,TOR,123,372,93,69,16,0,8,34,43,42,1,45,6,2,0,21,0,0,422,0.1,0.107,0.93,0.25,0.334,0.358,0.692,0.108,0.8,0.265,-6.0,-3.4,-5.7,-0.9,48,-3.6,0.308,95,0.253
2022,Alek Thomas,ARI,113,381,88,62,17,1,8,45,39,22,0,74,3,5,0,6,4,3,411,0.054000000000000006,0.18,0.3,0.231,0.275,0.344,0.619,0.113,3.7,0.263,2.8,-0.2,2.8,-0.8,35,-12.4,0.272,71,0.23
2023,Alek Thomas,ARI,125,374,86,55,17,5,9,51,39,19,1,86,4,3,2,5,9,1,402,0.047,0.214,0.22,0.23,0.273,0.374,0.647,0.144,7.2,0.273,2.6,0.3,4.0,0.8,36,-13.4,0.278,71,0.189
2020,Alex Bregman,HOU,42,153,37,18,12,1,6,19,22,24,1,26,2,1,0,2,0,0,180,0.133,0.14400000000000002,0.92,0.242,0.35,0.451,0.801,0.209,2.2,0.254,-0.8,0.4,0.2,-0.1,26,3.8,0.345,120,0.27
2021,Alex Bregman,HOU,91,348,94,65,17,0,12,54,55,44,4,53,4,4,0,13,1,0,400,0.11,0.133,0.83,0.27,0.355,0.422,0.777,0.152,2.4,0.286,-1.0,-1.0,-1.0,-0.2,55,7.0,0.336,114,0.259
2022,Alex Bregman,HOU,155,548,142,81,38,0,23,93,93,87,1,77,11,10,0,18,1,2,656,0.133,0.11699999999999999,1.13,0.259,0.366,0.454,0.82,0.195,2.0,0.26,-0.5,-1.2,-2.1,-1.3,100,25.0,0.358,137,0.262
2023,Alex Bregman,HOU,161,622,163,106,28,4,25,103,98,92,1,87,8,2,0,22,3,1,724,0.127,0.12,1.06,0.262,0.363,0.441,0.804,0.178,3.7,0.27,-1.5,-2.2,-2.7,-1.4,108,19.7,0.351,125,0.26
2022,Alex Call,WSN,35,102,25,16,3,1,5,16,13,11,0,26,2,0,0,2,3,3,115,0.096,0.226,0.42,0.245,0.33,0.441,0.772,0.196,5.5,0.282,1.0,-0.4,0.5,-0.7,16,2.6,0.338,119,0.2
2023,Alex Call,WSN,128,375,75,52,14,1,8,43,38,53,0,78,6,2,3,1,9,8,439,0.121,0.17800000000000002,0.68,0.2,0.307,0.307,0.614,0.107,3.7,0.23,0.7,2.0,1.8,-2.4,40,-13.9,0.28,73,0.343
2020,Alex Dickerson,SFG,52,151,45,24,10,1,10,28,27,16,2,30,2,1,0,5,0,0,170,0.094,0.17600000000000002,0.53,0.298,0.371,0.576,0.947,0.278,3.0,0.313,-0.3,-0.6,0.3,-0.1,32,10.6,0.394,149,0.233
2021,Alex Jackson,MIA,42,108,17,10,4,0,3,11,12,11,0,60,4,0,0,0,0,0,123,0.08900000000000001,0.488,0.18,0.157,0.26,0.278,0.538,0.12,1.5,0.311,-0.8,0.6,0.3,-0.1,8,-7.0,0.246,50,0.122
2021,Alex Kirilloff,MIN,59,215,54,34,11,1,8,23,34,14,2,52,1,1,0,3,1,1,231,0.061,0.225,0.27,0.251,0.299,0.423,0.722,0.172,3.0,0.295,-0.1,0.3,-1.0,-0.4,26,-1.5,0.307,95,0.25
2022,Alex Kirilloff,MIN,45,144,36,26,7,0,3,14,21,5,0,36,4,2,0,5,0,0,156,0.032,0.231,0.14,0.25,0.29,0.361,0.651,0.111,1.3,0.308,-1.5,-0.4,-1.3,-0.1,15,-2.9,0.286,85,0.27
2023,Alex Kirilloff,MIN,88,281,76,50,14,1,11,35,41,28,1,80,7,3,0,2,1,0,319,0.08800000000000001,0.251,0.35,0.27,0.348,0.445,0.793,0.174,2.9,0.337,-0.2,1.4,-1.5,-0.4,45,6.5,0.343,118,0.201
2020,Alex Verdugo,BOS,53,201,62,40,16,0,6,36,15,17,1,45,2,1,0,4,4,0,221,0.077,0.204,0.38,0.308,0.367,0.478,0.844,0.169,4.8,0.371,0.7,-0.2,0.2,0.6,36,7.9,0.362,125,0.289
2021,Alex Verdugo,BOS,146,544,157,110,32,2,13,88,63,51,6,96,4,5,0,11,6,2,604,0.084,0.159,0.53,0.289,0.351,0.426,0.777,0.138,4.3,0.327,2.2,0.0,-0.1,-0.2,83,9.7,0.334,106,0.28
2022,Alex Verdugo,BOS,152,593,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,644,0.065,0.134,0.49,0.28,0.328,0.405,0.732,0.125,2.2,0.309,0.4,0.1,-0.6,-1.6,78,4.9,0.319,102,0.264
2023,Alex Verdugo,BOS,142,546,144,89,37,5,13,81,54,45,1,93,6,5,0,11,5,3,602,0.075,0.154,0.48,0.264,0.324,0.421,0.745,0.158,4.8,0.294,0.1,-0.8,0.8,-1.3,75,1.7,0.322,100,0.233
2022,Alfonso Rivas III,CHC,101,251,59,49,5,2,3,27,25,29,1,87,4,2,1,1,6,1,287,0.10099999999999999,0.303,0.33,0.235,0.322,0.307,0.628,0.072,5.3,0.344,0.6,0.9,1.0,0.5,27,-5.7,0.285,85,0.234
